Joule,spacecraft,0
Promised Land,Baku,0
car,bicycle,0
polyhedron,actor,0
multiple sclerosis,MS,0
fault,system,0
weapon,helmet,0
screenwriter,television,0
United Nations,Ban Ki-moon,0
Si-o-seh pol,Mathematical Bridge,0
basilica,mosaic,0
watercolor painting,brush,0
democracy,monarchy,0
Gauss,scientist,0
tuberculosis,LED,0
self-driving car,autonomous car,0
apocalypse,fire,0
speed,post,0
PlayStation,Wii,0
laptop,notebook,0
Harry Potter,wizard,0
snowboard,skiing,0
pointer,slide,0
sensor,radiator,0
hit,frame,0
theory,hypothesis,0
Wall Street,financial market,0
Darwin,evolution,0
actor,actress,0
film,theatre,0
national anthem,patriotism,0
screen,monitor,0
dairy,honey,0
Mount Everest,Chomolungma,0
tug of war,Snakes and Ladders,0
pesticide,pest,0
policeman,politician,0
neuropsychology,parapsychology,0
battery,energy,0
Legion of Honour,stationery,0
Spider-Man,street,0
peninsula,island,0
equator,Ecuador,0
chart,graph,0
simulation,robotics,0
Nike,Adidas,0
society,culture,0
strategy game,strategy,0
church,cathedral,0
translator,foreigner,0
biotope,biology,0
magma,volcano,0
brainstorming,telescope,0
level,score,0
penny,bargain,0
political party,association,0
tsunami,sea,0
ostrich,orchard,0
cinnamon,candy,0
broom,dust,0
galaxy,astronomer,0
juice,milkshake,0
window blind,curtain,0
criminal,offender,0
pancreatic cancer,chemotherapy,0
past,antecedent,0
United Nations,European Parliament,0
song,performer,0
gun,notebook,0
acetylcholine,iris,0
alphabet,pen,0
chorus,singer,0
wood,blanket,0
soldier,peace,0
English,American,0
lizard,crocodile,0
money,cash,0
Paul the Octopus,octopus,0
calendar,holiday,0
base,chemical substance,0
government,lizard,0
JPY,money laundering,0
DeepMind,Google DeepMind,0
chess,check,0
sonnet,beauty,0
worker,office,0
currency,exchange,0
polyester,cotton,0
tribunal,justice,0
tail,rear,0
accident,book,0
squall,wind,0
piano,harmony,0
sultan,ministry,0
desert,dune,0
multiplication,division,0
virus,blood,0
ice age,statute,0
sword,environment,0
elementary school,pen,0
cricket,supporter,0
sculpture,statue,0
web browser,Mozilla Firefox,0
Fox Terrier,Canon,0
HSBC,Britain,0
Bible,Gospel,0
dress,dance,0
array,list,0
cell,lock-up,0
essay,homework,0
computer,machine,0
panda,polar bear,0
neurosis,mind,0
campaign,monkey,0
Faraday constant,rucksack,0
palace,skyscraper,0
helicopter,plane,0
University of Cambridge,Oxford University,0
flag,pole,0
window,roof,0
card game,frisbee,0
malware,worm,0
planet,star,0
runner,athlete,0
caliber,umbrella,0
WiFi,WikiLeaks,0
drought,water,0
airport,piece,0
orchestra,band,0
mojito,mohito,0
syllabus,exam,0
theorem,theory,0
yo-yo,toy,0
blizzard,rain,0
historian,historiographer,0
Siemens,electric train,0
century,year,0
alloy,steel,0
magistrate,judge,0
chaos,class,0
distance education,internet,0
sand,foot,0
IMF,Deutsche Bank,0
Guardian,Times,0
silkworm,Silk Road,0
freedom,oasis,0
cytoplasm,digit,0
protestant,christian,0
Leonardo da Vinci,The Last Supper,0
map,square,0
parliament,congress,0
fundraising,development,0
pathology,hematology,0
valley,depression,0
telescope,chair,0
heavy metal,stage,0
globalism,visa,0
bat,vampire,0
deputy,officer,0
electricity,case,0
alien,outlander,0
button,sewing machine,0
wizard,cable,0
philosopher,racing,0
popcorn,cinema,0
agriculture,plant,0
poet,journalist,0
weather,wave,0
civilization,lifestyle,0
snow,ice,0
World War II,Beethoven,0
motherboard,mainboard,0
club,mark,0
Alexander the Great,conqueror,0
app,galaxy,0
cloud computing,rain,0
television,actor,0
delta,sea,0
yarn,thread,0
pedestrian crossing,person,0
protein,handle,0
U2,Ronaldo,0
Apple,iPhone,0
peppermint,gum,0
poster,paper,0
UNICEF,root,0
xenophobia,racism,0
Woody Allen,lens,0
lamp,genie,0
navy,island,0
wall,castle,0
dinosaur,elephant,0
clock tower,stone,0
Middle East,Euphrates,0
meadow,grassland,0
guitar,violin,0
diplomacy,negotiation,0
gravity,meteor,0
IQ,Mensa,0
Union Jack,flag,0
earthquake,tremor,0
asset,stock,0
Hebrew,Jerusalem,0
overcast,forecast,0
dictionary,encyclopedia,0
mint,museum,0
chair,stool,0
Spanish,moisture,0
