AIRPLANE,pilot,88,
AIRPLANE,flight,77,
AIRPLANE,sky,61,
AIRPLANE,cloud,41,
AIRPLANE,airport,41,
AIRPLANE,travel,32,
AIRPLANE,wings,30,
AIRPLANE,passenger,24,
AIRPLANE,flight attendant,20,
AIRPLANE,food,18,
AIRPLANE,seats,17,
AIRPLANE,runway,15,
AIRPLANE,luggage,14,
APPLE,tree,73,
APPLE,red,40,
APPLE,pie,37,
APPLE,orange,32,
APPLE,fruit,32,
APPLE,worm,29,
APPLE,banana,24,
APPLE,core,23,
APPLE,teacher,22,
APPLE,seeds,21,
APPLE,green,19,
APPLE,orchard,18,
APPLE,juice,17,
APPLE,autumn,16,
APPLE,leaf,14,
AXE,tree,141,
AXE,wood,137,
AXE,lumberjack,39,
AXE,fire,30,
AXE,deodarant,26,
AXE,metal,25,
AXE,murderer,21,
AXE,cutting,20,
AXE,handle,15,
BABY,crying ,63,
BABY,crib,54,
BABY,mother,52,
BABY,diaper,45,
BABY,bottle,42,
BABY,small,32,
BABY,cute,30,
BABY,soother,30,
BABY,blanket,29,
BABY,milk,25,
BABY,toy,20,
BAG,wallet ,82,
BAG,groceries,75,
BAG,shopping ,42,
BAG,plastic,36,
BAG,book,35,
BAG,paper,31,
BAG,school,29,
BAG,handles,25,
BAG,computer,19,
BAG,woman,19,
BAG,zipper,19,
BAG,hand,18,
BAKER,bread,118,
BAKER,cake,85,
BAKER,oven,44,
BAKER,cookies,40,
BAKER,bakery,35,
BAKER,flour,34,
BAKER,cupcakes,24,
BAKER,pie,22,
BAKER,dough,19,
BAKER,apron,17,
BAKER,pastries,16,
BAKER,hat,16,
BAKER,muffins,14,
BALL,basketball,49,
BALL,sport,43,
BALL,net,31,
BALL,game,30,
BALL,dog,29,
BALL,baseball,29,
BALL,bouncing,26,
BALL,soccer,25,
BALL,basket,22,
BALL,park,18,
BALL,beach,17,
BANK,money,275,
BANK,bank teller,53,
BANK,robber,48,
BANK,credit card,27,
BANK,ATM,23,
BANK,safe,20,
BANK,investment,16,
BANK,cash register,16,
BANK,guard,15,
BANK,loan,14,
BANK,customer,14,
BANK,cheque,12,
BARN,horse,95,
BARN,cow,94,
BARN,hay,72,
BARN,animals,54,
BARN,farm,46,
BARN,pig,34,
BARN,farmer,24,
BARN,chicken,20,
BARN,wood,19,
BARN,tractor,17,
BARN,red,16,
BEACH,sand,169,
BEACH,sun,72,
BEACH,water,58,
BEACH,ball,41,
BEACH,summer,34,
BEACH,ocean ,27,
BEACH,towel,23,
BEACH,bikini,18,
BEACH,swimming,17,
BEAK,bird,200,
BEAK,worm,48,
BEAK,duck,35,
BEAK,nest,25,
BEAK,seeds,25,
BEAK,food,20,
BEAK,peck,18,
BEAK,sharp,18,
BEAR,forest,70,
BEAR,fur,52,
BEAR,fish,38,
BEAR,claws,37,
BEAR,honey,30,
BEAR,cub,29,
BEAR,tree,28,
BEAR,berries,24,
BEAR,camping,23,
BEAR,brown,21,
BEAR,big,21,
BEAR,fear,20,
BEAR,cave,19,
BEAR,teeth,18,
BED,pillow,122,
BED,sleep,111,
BED,sheets,69,
BED,blanket,63,
BED,rest,29,
BED,bedroom,24,
BED,house,19,
BED,night,19,
BED,mattress,18,
BED,duvet,15,
BEE,honey,168,
BEE,hive,86,
BEE,sting,57,
BEE,flower,53,
BEE,yellow,27,
BEE,stinger,24,
BEE,comb,22,
BEE,pollen,17,
BEE,stripes,16,
BEE,bear,15,
BEE,black,14,
BEE,queen,13,
BEER,alcohol,66,
BEER,cup,58,
BEER,bar,51,
BEER,party,47,
BEER,bottle,36,
BEER,drink,29,
BEER,drunk person,22,
BEER,wine,22,
BEER,belly,17,
BEER,keg,15,
BEER,foam,13,
BEER,chips,12,
BIRD,fly,66,
BIRD,nest,51,
BIRD,wings,46,
BIRD,sky,44,
BIRD,tree,42,
BIRD,egg,39,
BIRD,worm,38,
BIRD,feather,35,
BIRD,beak,34,
BIRD,sIng,28,
BIRD,seeds,28,
BIRD,cat,19,
BIRD,cage,17,
BOAT,water,167,
BOAT,ocean,47,
BOAT,sails,43,
BOAT,fish,38,
BOAT,lake,30,
BOAT,rIver,23,
BOAT,motor,20,
BOAT,anchor,16,
BOAT,captain,16,
BOAT,dock,15,
BOAT,paddles,15,
BOAT,tubing,13,
BOAT,summer,11,
BONE,dog,134,
BONE,skeleton,67,
BONE,body,44,
BONE,marrow,30,
BONE,strong,23,
BONE,dinosaur,22,
BONE,broken,21,
BONE,milk,20,
BONE,cast,19,
BONE,muscles,19,
BOOK,page,66,
BOOK,reading,50,
BOOK,paper,47,
BOOK,bookmark,32,
BOOK,words,27,
BOOK,library,27,
BOOK,school,23,
BOOK,author,23,
BOOK,cover,19,
BOOK,glasses,19,
BOOK,knowledge,18,
BOOK,bookshelf,18,
BOOK,bookstore,17,
BOY,girl,105,
BOY,sports,62,
BOY,games,37,
BOY,penis,34,
BOY,toys,30,
BOY,male,30,
BOY,school,26,
BOY,car,24,
BOY,father,18,
BOY,friend,15,
BUILDER,house,90,
BUILDER,construction,86,
BUILDER,hammer,61,
BUILDER,brick,44,
BUILDER,wood,40,
BUILDER,hardhat,38,
BUILDER,tools,35,
BUILDER,bob,32,
BUILDER,nails,26,
BUILDER,work,21,
BUILDER,concrete,16,
BUILDER,machines,16,
CAGE,bird,89,
CAGE,animal,65,
CAGE,prison,52,
CAGE,metal,38,
CAGE,zoo,36,
CAGE,bars,33,
CAGE,lion,31,
CAGE,lock,30,
CAGE,dog,29,
CAGE,prisoner,20,
CAGE,key,14,
cake,icing,92,
cake,birthday,89,
cake,candles,53,
cake,chocolate,40,
cake,flour,26,
cake,sugar,24,
cake,baker,21,
cake,plate,17,
cake,oven,16,
CAKE,bakery,16,
cake,cream,16,
cake,fork,15,
CAKE,presents,14,
cake,party,13,
cake,vanilla,12,
CAMEL,desert,190,
CAMEL,hump,102,
CAMEL,water,57,
CAMEL,sand,54,
